,ma1,ma2,result
0,10,10,0.0
1,10,15,0.0
2,10,20,0.0
3,10,25,0.0
4,10,30,0.0
5,10,35,0.0
6,10,40,0.0
7,10,45,0.0
8,10,50,0.0
9,10,55,0.0
10,10,60,0.0
11,10,65,0.0
12,10,70,0.0
13,10,75,0.0
14,10,80,0.0
15,10,85,0.0
16,10,90,0.0
17,10,95,0.0
18,15,10,0.0
19,15,15,0.0
20,15,20,0.0
21,15,25,0.0
22,15,30,0.0
23,15,35,0.0
24,15,40,0.0
25,15,45,0.0
26,15,50,0.0
27,15,55,0.0
28,15,60,0.0
29,15,65,0.0
30,15,70,0.0
31,15,75,0.0
32,15,80,0.0
33,15,85,0.0
34,15,90,0.0
35,15,95,0.0
36,20,10,0.0
37,20,15,0.0
38,20,20,0.0
39,20,25,0.0
40,20,30,0.0
41,20,35,0.0
42,20,40,0.0
43,20,45,0.0
44,20,50,0.0
45,20,55,0.0
46,20,60,0.0
47,20,65,0.0
48,20,70,0.0
49,20,75,0.0
50,20,80,0.0
51,20,85,0.0
52,20,90,0.0
53,20,95,0.0
54,25,10,0.0
55,25,15,0.0
56,25,20,0.0
57,25,25,0.0
58,25,30,0.0
59,25,35,0.0
60,25,40,0.0
61,25,45,0.0
62,25,50,0.0
63,25,55,0.0
64,25,60,0.0
65,25,65,0.0
66,25,70,0.0
67,25,75,0.0
68,25,80,0.0
69,25,85,0.0
70,25,90,0.0
71,25,95,0.0
72,30,10,0.0
73,30,15,0.0
74,30,20,0.0
75,30,25,0.0
76,30,30,0.0
77,30,35,0.0
78,30,40,0.0
79,30,45,0.0
80,30,50,0.0
81,30,55,0.0
82,30,60,0.0
83,30,65,0.0
84,30,70,0.0
85,30,75,0.0
86,30,80,0.0
87,30,85,0.0
88,30,90,0.0
89,30,95,0.0
90,35,10,0.0
91,35,15,0.0
92,35,20,0.0
93,35,25,0.0
94,35,30,0.0
95,35,35,0.0
96,35,40,0.0
97,35,45,0.0
98,35,50,0.0
99,35,55,0.0
100,35,60,0.0
101,35,65,0.0
102,35,70,0.0
103,35,75,0.0
104,35,80,0.0
105,35,85,0.0
106,35,90,0.0
107,35,95,0.0
108,40,10,0.0
109,40,15,0.0
110,40,20,0.0
111,40,25,0.0
112,40,30,0.0
113,40,35,0.0
114,40,40,0.0
115,40,45,0.0
116,40,50,0.0
117,40,55,0.0
118,40,60,0.0
119,40,65,0.0
120,40,70,0.0
121,40,75,0.0
122,40,80,0.0
123,40,85,0.0
124,40,90,0.0
125,40,95,0.0
126,45,10,0.0
127,45,15,0.0
128,45,20,0.0
129,45,25,0.0
130,45,30,0.0
131,45,35,0.0
132,45,40,0.0
133,45,45,0.0
134,45,50,0.0
135,45,55,0.0
136,45,60,0.0
137,45,65,0.0
138,45,70,0.0
139,45,75,0.0
140,45,80,0.0
141,45,85,0.0
142,45,90,0.0
143,45,95,0.0
144,50,10,0.0
145,50,15,0.0
146,50,20,0.0
147,50,25,0.0
148,50,30,0.0
149,50,35,0.0
150,50,40,0.0
151,50,45,0.0
152,50,50,0.0
153,50,55,0.0
