,ma1,ma2,result
154,50,60,0.0
155,50,65,0.0
156,50,70,0.0
157,50,75,0.0
158,50,80,0.0
159,50,85,0.0
160,50,90,0.0
161,50,95,0.0
162,55,10,0.0
163,55,15,0.0
164,55,20,0.0
165,55,25,0.0
166,55,30,0.0
167,55,35,0.0
168,55,40,0.0
169,55,45,0.0
170,55,50,0.0
171,55,55,0.0
172,55,60,0.0
173,55,65,0.0
174,55,70,0.0
175,55,75,0.0
176,55,80,0.0
177,55,85,0.0
178,55,90,0.0
179,55,95,0.0
180,60,10,0.0
181,60,15,0.0
182,60,20,0.0
183,60,25,0.0
184,60,30,0.0
185,60,35,0.0
186,60,40,0.0
187,60,45,0.0
188,60,50,0.0
189,60,55,0.0
190,60,60,0.0
191,60,65,0.0
192,60,70,0.0
193,60,75,0.0
194,60,80,0.0
195,60,85,0.0
196,60,90,0.0
197,60,95,0.0
198,65,10,0.0
199,65,15,0.0
200,65,20,0.0
201,65,25,0.0
202,65,30,0.0
203,65,35,0.0
204,65,40,0.0
205,65,45,0.0
206,65,50,0.0
207,65,55,0.0
208,65,60,0.0
209,65,65,0.0
210,65,70,0.0
211,65,75,0.0
212,65,80,0.0
213,65,85,0.0
214,65,90,0.0
215,65,95,0.0
216,70,10,0.0
217,70,15,0.0
218,70,20,0.0
219,70,25,0.0
220,70,30,0.0
221,70,35,0.0
222,70,40,0.0
223,70,45,0.0
224,70,50,0.0
225,70,55,0.0
226,70,60,0.0
227,70,65,0.0
228,70,70,0.0
229,70,75,0.0
230,70,80,0.0
231,70,85,0.0
232,70,90,0.0
233,70,95,0.0
234,75,10,0.0
235,75,15,0.0
236,75,20,0.0
237,75,25,0.0
238,75,30,0.0
239,75,35,0.0
240,75,40,0.0
241,75,45,0.0
242,75,50,0.0
243,75,55,0.0
244,75,60,0.0
245,75,65,0.0
246,75,70,0.0
247,75,75,0.0
248,75,80,0.0
249,75,85,0.0
250,75,90,0.0
251,75,95,0.0
252,80,10,0.0
253,80,15,0.0
254,80,20,0.0
255,80,25,0.0
256,80,30,0.0
257,80,35,0.0
258,80,40,0.0
259,80,45,0.0
260,80,50,0.0
261,80,55,0.0
262,80,60,0.0
263,80,65,0.0
264,80,70,0.0
265,80,75,0.0
266,80,80,0.0
267,80,85,0.0
268,80,90,0.0
269,80,95,0.0
270,85,10,0.0
271,85,15,0.0
272,85,20,0.0
273,85,25,0.0
274,85,30,0.0
275,85,35,0.0
276,85,40,0.0
277,85,45,0.0
278,85,50,0.0
279,85,55,0.0
280,85,60,0.0
281,85,65,0.0
282,85,70,0.0
283,85,75,0.0
284,85,80,0.0
285,85,85,0.0
286,85,90,0.0
287,85,95,0.0
288,90,10,0.0
289,90,15,0.0
290,90,20,0.0
291,90,25,0.0
292,90,30,0.0
293,90,35,0.0
294,90,40,0.0
295,90,45,0.0
296,90,50,0.0
297,90,55,0.0
298,90,60,0.0
299,90,65,0.0
300,90,70,0.0
301,90,75,0.0
302,90,80,0.0
303,90,85,0.0
304,90,90,0.0
305,90,95,0.0
306,95,10,0.0
307,95,15,0.0
308,95,20,0.0
309,95,25,0.0
310,95,30,0.0
311,95,35,0.0
312,95,40,0.0
313,95,45,0.0
314,95,50,0.0
315,95,55,0.0
316,95,60,0.0
317,95,65,0.0
318,95,70,0.0
319,95,75,0.0
320,95,80,0.0
321,95,85,0.0
322,95,90,0.0
323,95,95,0.0
